customer_id,price,discount,total_spend,purchase_count,basket_value,loyalty_flag
1,1601.41,0.06,9331.89,6,1654.59,1
2,1502.27,0.07,9753.78,6,1747.99,1
3,776.87,0.3,2559.82,4,914.22,0
4,1525.75,0.01,6236.26,5,1259.85,1
5,1153.69,0.22,3458.96,4,1108.64,0
6,941.73,0.15,3887.32,6,762.22,0
7,606.24,0.2,1807.58,4,564.87,0
8,1119.33,0.23,3498.39,4,1135.84,0
9,1196.33,0.13,10906.49,9,1392.91,1
10,1676.2,0.12,5038.6,3,1908.56,0
11,1487.17,0.29,4492.81,5,1265.58,0
12,1025.13,0.35,2789.31,5,858.25,0
13,1316.8,0.08,7528.29,6,1363.82,1
14,1447.87,0.04,7039.06,5,1466.47,1
15,1225.79,0.36,7111.94,10,1111.24,0
16,1023.85,0.14,2042.4,2,1187.44,0
17,1040.35,0.22,4750.94,5,1218.19,0
18,1315.64,0.14,4349.5,4,1264.39,0
19,1323.89,0.05,15994.56,11,1530.58,1
20,1112.11,0.24,4029.86,5,1060.49,0
21,414.25,0.21,1433.03,4,453.49,0
22,812.84,0.08,6665.57,9,805.02,1
23,1385.91,0.18,3859.51,4,1176.68,0
24,560.75,0.32,2679.5,6,656.74,0
25,1555.25,0.24,9282.28,8,1526.69,1
26,1510.85,0.04,4759.37,3,1652.56,0
27,1212.33,0.22,3581.51,4,1147.92,0
28,1379.38,0.28,4812.13,6,1113.92,0
29,1358.63,0.32,6209.98,8,1141.54,0
30,1164.94,0.25,8723.85,10,1163.18,0
31,787.83,0.06,3187.31,4,847.69,0
32,1490.18,0.28,2004,2,1391.67,0
33,1622.17,0.27,7660.71,6,1749.02,0
34,837.42,0.01,6264.44,7,903.96,1
35,776.62,0.16,6350.17,9,839.97,1
36,1158.96,0.13,3015.83,3,1155.49,0
37,1012.13,0.27,5168.84,6,1180.1,0
38,1243.48,0.09,10140.12,9,1238.11,1
39,1562.4,0.24,8146.62,7,1531.32,1
40,526.3,0.37,3500.36,12,463.01,0
41,1674.38,0.32,8407.85,8,1545.56,0
42,1078,0.37,2219.24,4,880.65,0
43,1353.53,0.39,869.76,1,1425.83,0
44,1385.62,0,7477.5,6,1246.25,1
45,1420.6,0.25,1963.96,2,1309.31,0
46,1218.57,0.17,10088.76,9,1350.57,1
47,1288.67,0.34,3958.71,5,1199.61,0
48,1286.71,0.1,7270.33,7,1154.02,1
49,1010.92,0.39,3210.19,6,877.1,0
50,672.58,0.25,1119.8,2,746.53,0
51,834.24,0.32,2899.53,6,710.67,0
52,1168.73,0.03,5563.48,5,1147.11,1
53,963.96,0.07,4494.83,5,966.63,0
54,964.65,0.3,3629.36,5,1036.96,0
55,1739.78,0.01,14513.64,8,1832.53,1
56,1457.67,0.33,1098.02,1,1638.84,0
57,1124.38,0.01,2731.3,3,919.63,0
58,1401.61,0.26,3810.97,4,1287.49,0
59,1073.92,0.15,9158.04,11,979.47,1
60,1233.22,0.24,7240.82,9,1058.6,1
61,1332.49,0.28,3513.95,4,1220.12,0
62,1074.72,0.14,6831.43,8,992.94,1
63,994.42,0.04,6740.97,7,1003.12,1
64,1567.18,0.03,8098.53,5,1669.8,1
65,1384.23,0.24,5009.92,5,1318.4,0
66,523.62,0.21,2249.88,5,569.59,0
67,999.56,0.3,5884.51,9,934.05,0
68,965.62,0.2,2123.09,3,884.62,0
69,1013.66,0.17,2565.6,3,1030.36,0
70,1458.72,0.16,8926.92,9,1180.81,1
71,1205.76,0.01,4965.3,5,1003.09,0
72,783.11,0.13,5930.52,9,757.41,1
73,1085.04,0.39,5453.94,7,1277.27,0
74,1362.52,0.35,6748.79,7,1483.25,0
75,1134.11,0.13,9065.37,11,947.27,1
76,1006.6,0.24,3483.96,4,1146.04,0
77,1299.37,0.34,7498.18,8,1420.11,0
78,1685.46,0.18,17320.96,12,1760.26,1
79,1338.43,0.01,8968.87,6,1509.91,1
80,1590.28,0.03,11867.21,8,1529.28,1
81,1026.72,0.2,3649.36,5,912.34,0
82,1197.49,0.39,5871.86,8,1203.25,0
83,1191.43,0.28,7871.32,9,1214.71,0
84,1235.6,0.03,4867.62,4,1254.54,0
85,1332.16,0.08,3772.48,3,1366.84,0
86,924.31,0.31,4513.47,6,1090.21,0
87,1394.2,0.34,2136.45,2,1618.52,0
88,711.63,0.25,1227.87,2,818.58,0
89,799.27,0.26,3313.87,5,895.64,0
90,1840.69,0.01,10727.54,5,2167.18,1
91,1046.96,0.33,2944.05,5,878.82,0
92,1418.86,0.32,4370.9,5,1285.56,0
93,1709.49,0.1,9212.99,6,1706.11,1
94,505.66,0.28,1658.16,4,575.75,0
95,1537.87,0.09,5609.42,4,1541.05,0
96,1394.68,0.02,12019.11,8,1533.05,1
97,1692.12,0.08,6659.65,5,1447.75,1
98,845.54,0.07,2833.9,4,761.8,0
99,1635.38,0.14,4610.46,3,1787,0
100,978.18,0.17,4218.06,6,847,0
101,1516.43,0.2,10269.14,9,1426.27,1
102,1189.19,0.19,5235.87,6,1077.34,1
